  crm_contacts  ·  800 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
contact_id,first_name,last_name,email,phone,account_id,job_title,country,created_at
CON0001,Nour,Trabelsi,nour.trabelsi@bna.com.tn,+216 55 206 334,ACC0074,Directeur Financier,Tunisie,2022-10-17
CON0002,Mehdi,Ayadi,mehdi.ayadi@bna.com.tn,+216 98 594 674,ACC0075,CTO,Tunisie,2023-01-02
CON0003,Imen,Toumi,imen.toumi@yahoo.fr,+216 26 836 332,ACC0055,Responsable SI,Tunisie,2020-07-09
CON0004,Ines,Hamouda,ines.hamouda@ooredoo.tn,+216 24 899 225,ACC0063,Chef de Projet,Tunisie,2020-04-07
CON0005,Walid,Mansouri,walid.mansouri@bna.com.tn,+216 98 110 493,ACC0026,Responsable SI,Tunisie,2022-02-01
CON0006,Wassim,Mabrouk,wassim.mabrouk@bna.com.tn,+216 22 218 476,ACC0083,RSSI,Tunisie,2023-04-24
CON0007,Maroua,Kchaou,maroua.kchaou@yahoo.fr,+216 92 207 297,ACC0045,CTO,Tunisie,2019-03-16
CON0008,Salma,Jlassi,salma.jlassi@attijari.tn,+216 25 543 477,ACC0077,Directeur Operations,Tunisie,2019-08-08
CON0009,Rami,Fehri,rami.fehri@gmail.com,+216 95 352 910,ACC0130,Chef de Projet,Tunisie,2020-01-30
CON0010,Houssem,Guesmi,houssem.guesmi@ooredoo.tn,+216 25 884 994,ACC0004,RSSI,Tunisie,2022-03-08
CON0011,Oussama,Ncibi,oussama.ncibi@stb.com.tn,+216 50 440 702,ACC0132,Directeur Financier,Tunisie,2021-03-31
CON0012,Yasmine,Ferjani,yasmine.ferjani@ooredoo.tn,+216 95 217 105,ACC0067,Architecte SI,Tunisie,2021-07-03
CON0013,Ghassen,Guizani,ghassen.guizani@ooredoo.tn,+216 20 680 228,ACC0168,DG,Tunisie,2019-05-08
CON0014,Mariem,Chebbi,mariem.chebbi@gmail.com,+216 21 662 161,ACC0181,Directeur Technique,Tunisie,2022-08-01
CON0015,Sarra,Oueslati,sarra.oueslati@attijari.tn,+216 23 832 218,ACC0117,Directeur Technique,Tunisie,2021-05-01
CON0016,Amine,Cherni,amine.cherni@ttelecom.tn,+216 92 312 452,ACC0175,Directeur Financier,Tunisie,2021-12-12
CON0017,Mohamed,Ben Ali,mohamed.ben-ali@stb.com.tn,+216 24 506 218,ACC0141,Responsable SI,Tunisie,2022-03-18
CON0018,Hamza,Chabbi,hamza.chabbi@ooredoo.tn,+216 26 440 418,ACC0184,Directeur Financier,Tunisie,2019-07-06
CON0019,Tarek,Sassi,tarek.sassi@bna.com.tn,+216 23 406 796,ACC0117,Chef de Projet,Tunisie,2022-02-18
CON0020,Rania,Elloumi,rania.elloumi@biat.com.tn,+216 24 761 181,ACC0191,DSI,Tunisie,2019-05-30
CON0021,Ghassen,Bouaziz,ghassen.bouaziz@attijari.tn,+216 53 476 240,ACC0121,Directeur Operations,Tunisie,2021-04-17
CON0022,Hajer,Sghaier,hajer.sghaier@ooredoo.tn,+216 25 650 788,ACC0098,Architecte SI,Tunisie,2021-02-08
CON0023,Bilel,Sghaier,bilel.sghaier@bna.com.tn,+216 25 481 815,ACC0101,RSSI,Tunisie,2023-01-30
CON0024,Sofiene,Jebali,sofiene.jebali@yahoo.fr,+216 95 506 252,ACC0109,Architecte SI,Tunisie,2023-08-14
CON0025,Ameni,Ben Slama,ameni.ben-slama@ttelecom.tn,+216 27 161 328,ACC0009,Directeur Technique,Tunisie,2023-04-18
CON0026,Mounir,Hamdi,mounir.hamdi@biat.com.tn,+216 22 641 629,ACC0154,RSSI,Tunisie,2023-02-25
CON0027,Sofiene,Hamouda,sofiene.hamouda@biat.com.tn,+216 20 503 121,ACC0036,Chef de Projet,Tunisie,2020-04-24
CON0028,Sarra,Zouari,sarra.zouari@biat.com.tn,+216 92 636 194,ACC0078,RSSI,Tunisie,2020-03-28
CON0029,Lotfi,Sassi,lotfi.sassi@bna.com.tn,+216 90 173 197,ACC0161,Directeur Technique,Tunisie,2021-10-12
CON0030,Mouna,Karray,mouna.karray@ttelecom.tn,+216 23 183 401,ACC0082,Directeur Technique,Tunisie,2019-11-02
CON0031,Khaled,Amri,khaled.amri@ttelecom.tn,+216 25 123 671,ACC0077,DG,Tunisie,2019-04-29
CON0032,Khaled,Kchaou,khaled.kchaou@bna.com.tn,+216 55 697 934,ACC0063,Responsable SI,Tunisie,2020-11-07
CON0033,Wael,Mellouli,wael.mellouli@stb.com.tn,+216 90 925 843,ACC0014,Directeur Financier,Tunisie,2022-10-11
CON0034,Kais,Brahim,kais.brahim@attijari.tn,+216 26 313 256,ACC0123,CTO,Tunisie,2020-09-12
CON0035,Khaled,Fehri,khaled.fehri@yahoo.fr,+216 23 420 111,ACC0063,CTO,Tunisie,2021-03-23
CON0036,Mounir,Guesmi,mounir.guesmi@ttelecom.tn,+216 55 229 668,ACC0079,DG,Tunisie,2021-11-16
CON0037,Fares,Chebbi,fares.chebbi@stb.com.tn,+216 27 345 767,ACC0053,Responsable SI,Tunisie,2021-04-27
CON0038,Chaima,Romdhane,chaima.romdhane@bna.com.tn,+216 98 736 116,ACC0142,CTO,Tunisie,2023-01-14
CON0039,Olfa,Haddad,olfa.haddad@biat.com.tn,+216 26 355 882,ACC0128,Architecte SI,Tunisie,2020-06-11
CON0040,Slim,Ferjani,slim.ferjani@biat.com.tn,+216 25 885 657,ACC0044,RSSI,Tunisie,2021-09-27
CON0041,Imen,Fehri,imen.fehri@yahoo.fr,+216 24 146 577,ACC0172,Responsable SI,Tunisie,2021-04-24
CON0042,Ameni,Dridi,ameni.dridi@yahoo.fr,+216 98 709 359,ACC0130,Architecte SI,Tunisie,2019-05-04
CON0043,Ines,Ben Ali,ines.ben-ali@ttelecom.tn,+216 99 567 932,ACC0002,DSI,Tunisie,2021-04-22
CON0044,Kais,Ayadi,kais.ayadi@biat.com.tn,+216 22 284 198,ACC0129,DG,Tunisie,2019-08-08
CON0045,Olfa,Hamdi,olfa.hamdi@stb.com.tn,+216 25 822 219,ACC0091,Architecte SI,Tunisie,2019-06-11
CON0046,Hedi,Ncibi,hedi.ncibi@biat.com.tn,+216 55 725 162,ACC0176,CDO,Tunisie,2019-07-11
CON0047,Wael,Rekik,wael.rekik@ooredoo.tn,+216 27 455 816,ACC0180,Directeur Financier,Tunisie,2021-10-20
CON0048,Ahmed,Khelifi,ahmed.khelifi@stb.com.tn,+216 21 208 945,ACC0011,CTO,Tunisie,2023-11-13
CON0049,Fatma,Haddad,fatma.haddad@bna.com.tn,+216 22 151 725,ACC0140,Directeur Operations,Tunisie,2020-01-03
CON0050,Chaima,Guizani,chaima.guizani@yahoo.fr,+216 95 156 197,ACC0020,Directeur Technique,Tunisie,2022-02-28
CON0051,Sarra,Ben Amor,sarra.ben-amor@ooredoo.tn,+216 52 832 632,ACC0194,Directeur Operations,Tunisie,2021-10-22
CON0052,Rami,Cherni,rami.cherni@bna.com.tn,+216 20 765 232,ACC0155,Directeur Operations,Tunisie,2021-03-23
CON0053,Lotfi,Elloumi,lotfi.elloumi@ooredoo.tn,+216 52 335 563,ACC0142,RSSI,Tunisie,2020-01-16
CON0054,Aziz,Mabrouk,aziz.mabrouk@ooredoo.tn,+216 20 813 182,ACC0064,Directeur Financier,Tunisie,2020-07-02
CON0055,Sofiene,Ferjani,sofiene.ferjani@bna.com.tn,+216 27 760 592,ACC0093,Chef de Projet,Tunisie,2019-01-11
CON0056,Dorra,Chabbi,dorra.chabbi@ttelecom.tn,+216 99 540 948,ACC0111,Architecte SI,Tunisie,2022-02-10
CON0057,Ahmed,Ayadi,ahmed.ayadi@biat.com.tn,+216 92 558 248,ACC0153,RSSI,Tunisie,2023-11-04
CON0058,Yassine,Khelifi,yassine.khelifi@attijari.tn,+216 52 972 587,ACC0147,CTO,Tunisie,2022-11-04
CON0059,Rania,Ben Ali,rania.ben-ali@yahoo.fr,+216 50 259 796,ACC0017,Directeur Technique,Tunisie,2020-07-19
CON0060,Walid,Abidi,walid.abidi@attijari.tn,+216 55 674 564,ACC0153,Directeur Operations,Tunisie,2021-07-26
CON0061,Nacer,Ben Salem,nacer.ben-salem@ooredoo.tn,+216 27 902 651,ACC0085,Architecte SI,Tunisie,2021-05-31
CON0062,Ahmed,Ben Amor,ahmed.ben-amor@attijari.tn,+216 55 414 415,ACC0123,Responsable SI,Tunisie,2021-03-26
CON0063,Emna,Souissi,emna.souissi@biat.com.tn,+216 22 691 630,ACC0084,DG,Tunisie,2023-07-31
CON0064,Mariem,Cherni,mariem.cherni@bna.com.tn,+216 99 533 680,ACC0175,Architecte SI,Tunisie,2023-01-29
CON0065,Zied,Dridi,zied.dridi@ooredoo.tn,+216 92 457 482,ACC0173,DSI,Tunisie,2022-07-21
CON0066,Maroua,Rekik,maroua.rekik@stb.com.tn,+216 55 261 767,ACC0019,Directeur Technique,Tunisie,2021-09-08
CON0067,Fares,Abidi,fares.abidi@stb.com.tn,+216 25 773 655,ACC0093,Responsable SI,Tunisie,2022-07-30
CON0068,Ghassen,Gharbi,ghassen.gharbi@bna.com.tn,+216 24 633 386,ACC0166,Chef de Projet,Tunisie,2022-02-27
CON0069,Maroua,Trabelsi,maroua.trabelsi@yahoo.fr,+216 53 189 875,ACC0067,Architecte SI,Tunisie,2023-03-10
CON0070,Zied,Khelifi,zied.khelifi@ooredoo.tn,+216 22 937 296,ACC0101,DG,Tunisie,2022-11-15
CON0071,Ghassen,Ben Fredj,ghassen.ben-fredj@gmail.com,+216 25 104 585,ACC0022,Directeur Technique,Tunisie,2020-12-14
CON0072,Lotfi,Oueslati,lotfi.oueslati@gmail.com,+216 23 818 539,ACC0025,Directeur Technique,Tunisie,2020-10-15
CON0073,Amine,Romdhane,amine.romdhane@gmail.com,+216 21 232 176,ACC0166,Directeur Technique,Tunisie,2023-02-25
CON0074,Fatma,Chabbi,fatma.chabbi@biat.com.tn,+216 23 974 388,ACC0119,Responsable SI,Tunisie,2022-07-13
CON0075,Olfa,Jebali,olfa.jebali@yahoo.fr,+216 55 509 550,ACC0116,Directeur Financier,Tunisie,2021-03-07
CON0076,Nizar,Bchir,nizar.bchir@yahoo.fr,+216 24 619 786,ACC0148,DSI,Tunisie,2020-01-18
CON0077,Ahmed,Zouari,ahmed.zouari@gmail.com,+216 92 420 820,ACC0136,Directeur Operations,Tunisie,2021-03-06
CON0078,Nacer,Khelifi,nacer.khelifi@gmail.com,+216 24 142 929,ACC0159,CTO,Tunisie,2022-06-12
CON0079,Ghassen,Tlili,ghassen.tlili@attijari.tn,+216 50 881 191,ACC0030,Directeur Technique,Tunisie,2022-11-21
CON0080,Karim,Jebali,karim.jebali@gmail.com,+216 22 891 273,ACC0109,CDO,Tunisie,2022-07-25
CON0081,Yassine,Laabidi,yassine.laabidi@ttelecom.tn,+216 27 303 110,ACC0036,CDO,Tunisie,2023-09-21
CON0082,Hedi,Sghaier,hedi.sghaier@gmail.com,+216 27 961 468,ACC0099,Directeur Financier,Tunisie,2022-08-30
CON0083,Ameni,Tlili,ameni.tlili@biat.com.tn,+216 21 683 865,ACC0126,Architecte SI,Tunisie,2022-03-03
CON0084,Leila,Ferjani,leila.ferjani@attijari.tn,+216 55 863 202,ACC0044,RSSI,Tunisie,2023-03-01
CON0085,Kais,Rekik,kais.rekik@gmail.com,+216 23 278 268,ACC0094,CTO,Tunisie,2023-04-06
CON0086,Mounir,Toumi,mounir.toumi@gmail.com,+216 95 351 715,ACC0077,CTO,Tunisie,2020-06-22
