  crm_leads  ·  600 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
lead_id,name,email,company,phone,source,status,country,industry,created_at,lost_reason
LED0001,Slim Souissi,slim.souissi@yahoo.fr,Attijari Bank,+216 55 540 756,Event,Converted,Maroc,Secteur Public,2024-10-01,
LED0002,Ahmed Souissi,ahmed.souissi@yahoo.fr,Star Assurance,+216 24 125 114,Website,Contacted,Maroc,Energie,2022-10-18,
LED0003,Yasmine Hamdi,yasmine.hamdi@outlook.com,Tunisie Telecom,+216 21 900 382,LinkedIn,Converted,Maroc,Finance,2023-06-07,
LED0004,Ahmed Hamouda,ahmed.hamouda@outlook.com,Poulina Group,+216 55 375 722,LinkedIn,Converted,France,Industrie,2023-07-06,
LED0005,Sami Brahim,sami.brahim@yahoo.fr,Talan France,+216 23 884 217,LinkedIn,Disqualified,Maroc,Transport,2024-06-07,Wrong target
LED0006,Yassine Ncibi,yassine.ncibi@yahoo.fr,Total Energies TN,+216 52 165 622,Inbound,New,Maroc,Finance,2024-01-14,
LED0007,Mehdi Haddad,mehdi.haddad@outlook.com,BNA Banque,+216 23 617 875,Referral,New,Maroc,Technology,2023-09-20,
LED0008,Sofiene Guesmi,sofiene.guesmi@yahoo.fr,Banque Centrale Tunisie,+216 99 897 668,Referral,New,Algerie,Technology,2024-03-08,
LED0009,Mouna Dridi,mouna.dridi@yahoo.fr,Tunisair,+216 20 793 350,Trade Show,Converted,Tunisie,Transport,2022-01-20,
LED0010,Ines Sassi,ines.sassi@gmail.com,Banque Centrale Tunisie,+216 25 203 146,Website,Qualified,Tunisie,Telecom,2024-05-06,
LED0011,Bilel Jebali,bilel.jebali@yahoo.fr,UIB Banque,+216 98 944 832,Cold Call,Qualified,Maroc,Secteur Public,2024-04-12,
LED0012,Mohamed Amri,mohamed.amri@gmail.com,Leoni Tunisie,+216 90 627 883,Referral,Qualified,Maroc,Assurance,2022-01-22,
LED0013,Tarek Hammami,tarek.hammami@gmail.com,TTS,+216 55 849 368,Referral,Disqualified,Tunisie,Assurance,2023-01-25,Unresponsive
LED0014,Yasmine Souissi,yasmine.souissi@gmail.com,STIIP Assurance,+216 53 211 183,Website,Converted,Tunisie,Technology,2024-12-08,
LED0015,Aziz Ben Salem,aziz.ben-salem@gmail.com,Orange Tunisie,+216 24 321 736,Trade Show,Disqualified,Tunisie,Energie,2022-08-20,Competitor
LED0016,Yasmine Mabrouk,yasmine.mabrouk@yahoo.fr,BIAT Leasing,+216 55 899 449,Event,Qualified,Tunisie,Technology,2024-03-17,
LED0017,Maroua Ayadi,maroua.ayadi@outlook.com,GCT,+216 92 748 442,Website,Qualified,Tunisie,Energie,2024-07-31,
LED0018,Walid Khelifi,walid.khelifi@yahoo.fr,Total Energies TN,+216 20 921 247,Website,New,Tunisie,Industrie,2023-02-09,
LED0019,Mohamed Trabelsi,mohamed.trabelsi@gmail.com,TTS,+216 22 981 624,Cold Call,Disqualified,Tunisie,Technology,2023-09-05,No budget
LED0020,Nacer Bchir,nacer.bchir@outlook.com,Orange Tunisie,+216 53 220 976,LinkedIn,Contacted,France,Technology,2022-01-12,
