  erp_payments  ·  800 lignes  ·  8 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
payment_id,invoice_id,payment_date,amount,payment_method,reference,currency,bank_account
PAY00001,SINV00015,2022-11-21,197854.99,Wire Transfer,REF-43597642,TND,IBAN70465104999600
PAY00002,SINV00741,2022-06-11,222064.82,Wire Transfer,REF-41899679,TND,IBAN55415009124856
PAY00003,SINV00857,2022-06-30,205053.7,Direct Debit,REF-16889727,TND,IBAN81593012012240
PAY00004,SINV00114,2024-05-05,104879.89,Check,REF-96082970,TND,IBAN93592967008690
PAY00005,SINV00417,2023-05-02,136686.79,Credit Card,REF-32957524,TND,IBAN15068053584505
PAY00006,SINV00752,2022-11-13,224083.38,SEPA,REF-33747945,TND,IBAN26186125916077
PAY00007,SINV00055,2024-06-23,81074.74,Wire Transfer,REF-46741248,TND,IBAN30297016029043
PAY00008,SINV00622,2023-05-19,49933.63,Direct Debit,REF-44792619,TND,IBAN89501953968246
PAY00009,SINV00606,2023-08-28,126567.28,Direct Debit,REF-31047600,TND,IBAN91775226182689
PAY00010,SINV00140,2023-05-30,84348.47,Wire Transfer,REF-11507679,TND,IBAN54350551817314
PAY00011,SINV00817,2024-02-21,97087.09,Direct Debit,REF-32525087,TND,IBAN77440303943615
PAY00012,SINV00824,2024-07-29,165080.05,Credit Card,REF-58468322,TND,IBAN75248445335144
PAY00013,SINV00595,2024-04-13,441545.38,Wire Transfer,REF-78787811,TND,IBAN83950318503499
PAY00014,SINV00850,2024-11-24,101797.24,Wire Transfer,REF-99584820,TND,IBAN33760668223749
PAY00015,SINV00548,2022-09-16,287375.68,Credit Card,REF-33918798,TND,IBAN34029658002410
PAY00016,SINV00232,2022-03-15,59978.87,Bank Transfer,REF-97080257,TND,IBAN76655606585143
PAY00017,SINV00690,2023-07-01,152312.13,Credit Card,REF-74581564,TND,IBAN85178129136870
PAY00018,SINV00669,2024-02-24,171213.33,SEPA,REF-16606602,TND,IBAN63450422323383
PAY00019,SINV00389,2023-01-15,247302.36,SEPA,REF-61167372,TND,IBAN81244975502157
PAY00020,SINV00270,2022-03-02,236518.18,Wire Transfer,REF-88588889,TND,IBAN32748620288967
PAY00021,SINV00484,2023-11-13,219274.26,SEPA,REF-25712391,TND,IBAN60405504551949
PAY00022,SINV00342,2024-06-21,90178.86,Credit Card,REF-96720296,TND,IBAN81811252384584
PAY00023,SINV00357,2024-06-11,337472.2,Bank Transfer,REF-12890502,TND,IBAN90577725629596
PAY00024,SINV00572,2023-10-07,246892.8,Check,REF-48890188,TND,IBAN49499001090623
PAY00025,SINV00595,2024-03-15,246451.13,Check,REF-24761278,TND,IBAN43028566704062
PAY00026,SINV00641,2024-02-22,302696.94,Wire Transfer,REF-75545024,TND,IBAN76319655616730
PAY00027,SINV00371,2022-05-13,350425.23,Wire Transfer,REF-98990574,TND,IBAN13009815284105
PAY00028,SINV00772,2022-01-28,215556.34,Wire Transfer,REF-87283661,TND,IBAN81233862575067
PAY00029,SINV00109,2023-04-01,180149.32,Credit Card,REF-46114396,TND,IBAN42267058817928
PAY00030,SINV00150,2023-09-30,41688.6,Wire Transfer,REF-69268805,TND,IBAN70007824333719
PAY00031,SINV00455,2023-10-02,105116.96,SEPA,REF-51908213,TND,IBAN35915233035764
PAY00032,SINV00008,2024-10-24,361672.97,SEPA,REF-93329497,TND,IBAN55603521931362
PAY00033,SINV00005,2022-09-04,4432.79,Wire Transfer,REF-50536399,TND,IBAN17264922931615
PAY00034,SINV00814,2023-03-01,280565.3,Bank Transfer,REF-90556426,TND,IBAN21745929220141
PAY00035,SINV00013,2024-05-28,209879.81,Bank Transfer,REF-41162689,TND,IBAN36548766979482
PAY00036,SINV00628,2023-01-05,31175.2,Credit Card,REF-56886451,TND,IBAN30906286197199
PAY00037,SINV00191,2023-12-21,66664.77,Check,REF-34097480,TND,IBAN47392852841747
PAY00038,SINV00847,2023-05-03,374690.05,Direct Debit,REF-21630904,TND,IBAN55111642901327
PAY00039,SINV00400,2022-04-28,435589.26,Wire Transfer,REF-96667130,TND,IBAN71065785752569
PAY00040,SINV00173,2025-01-29,5357.25,Bank Transfer,REF-98392146,TND,IBAN48292421140014
PAY00041,SINV00460,2022-11-17,246079.48,Check,REF-17579422,TND,IBAN25467789490455
PAY00042,SINV00441,2023-05-21,25857.19,Credit Card,REF-25554033,TND,IBAN97353193314978
PAY00043,SINV00088,2023-10-14,289984.28,Wire Transfer,REF-25391736,TND,IBAN30820386377455
PAY00044,SINV00683,2022-08-21,197256.36,Wire Transfer,REF-55070639,TND,IBAN76971930102172
PAY00045,SINV00217,2024-11-04,48589.9,Direct Debit,REF-62343397,TND,IBAN52990144639790
PAY00046,SINV00731,2022-11-16,177210.75,Credit Card,REF-21837019,TND,IBAN13265308418936
PAY00047,SINV00172,2022-08-12,231385.37,Wire Transfer,REF-83392616,TND,IBAN10674771675289
PAY00048,SINV00163,2024-01-18,44461.56,Credit Card,REF-34315935,TND,IBAN43102478509589
PAY00049,SINV00293,2025-01-18,289170,SEPA,REF-86310538,TND,IBAN21301408597758
PAY00050,SINV00652,2023-06-17,252601.04,Direct Debit,REF-98091711,TND,IBAN26958683062169
PAY00051,SINV00597,2025-01-19,47725.85,Wire Transfer,REF-97768444,TND,IBAN56491577536906
PAY00052,SINV00488,2022-07-02,95877.95,Check,REF-90277560,TND,IBAN58744068269743
PAY00053,SINV00201,2023-02-19,45020.01,Check,REF-87726778,TND,IBAN15741471203391
PAY00054,SINV00433,2025-01-20,68181.42,SEPA,REF-59282795,TND,IBAN85128669884562
PAY00055,SINV00703,2022-10-10,158805.96,SEPA,REF-92814795,TND,IBAN16950428730546
PAY00056,SINV00814,2023-04-01,200080,Bank Transfer,REF-14490826,TND,IBAN10811559639745
PAY00057,SINV00578,2023-07-23,25388.92,Check,REF-92305627,TND,IBAN23144923220309
PAY00058,SINV00128,2023-04-28,319668.47,Credit Card,REF-35260695,TND,IBAN22069677008743
PAY00059,SINV00897,2024-10-10,127148.83,Credit Card,REF-62258608,TND,IBAN64158675310781
PAY00060,SINV00649,2023-02-27,31313.87,Direct Debit,REF-41897383,TND,IBAN16780497578458
PAY00061,SINV00242,2023-09-11,154546.41,SEPA,REF-85688875,TND,IBAN90873455387229
PAY00062,SINV00040,2022-09-12,4965.98,Check,REF-47324494,TND,IBAN82602215559577
PAY00063,SINV00309,2023-07-01,109226.29,Check,REF-24798689,TND,IBAN90951790067830
PAY00064,SINV00107,2022-10-20,191155.91,Check,REF-59596879,TND,IBAN12482911793244
PAY00065,SINV00445,2023-11-06,16581.64,Bank Transfer,REF-82518931,TND,IBAN56185426113274
PAY00066,SINV00333,2023-12-09,153223.93,SEPA,REF-87741494,TND,IBAN59801312027928
PAY00067,SINV00486,2022-06-24,309883.82,Wire Transfer,REF-36266336,TND,IBAN36489614308773
PAY00068,SINV00380,2022-06-26,350225.41,Direct Debit,REF-68334054,TND,IBAN56762387639715
PAY00069,SINV00734,2023-07-04,368735.24,Credit Card,REF-44327904,TND,IBAN75055520297535
PAY00070,SINV00071,2022-03-25,215576.3,Credit Card,REF-65072766,TND,IBAN87165603841122
PAY00071,SINV00629,2023-05-04,214394.36,Bank Transfer,REF-72942923,TND,IBAN98694499176013
